code	profile_spec_name	lvl	link	FormEd	Plan_Budg	Plan_Comm	Years	Months
38.03.01	экономика	бакалавриат	https://abit.magtu.ru/38-03-01-ekonomika	очно-заочная	0	29	none	none
38.03.02	менеджмент	бакалавриат	https://abit.magtu.ru/38-03-02-menedzhment	очная	0	30	none	none
38.03.02	менеджмент	бакалавриат	https://abit.magtu.ru/38-03-02-menedzhment	очно-заочная	0	30	none	none
38.03.03	управление персоналом	бакалавриат	https://abit.magtu.ru/38-03-03-upravlenie-personalom	очная	0	20	none	none
38.04.01	экономика	магистратура	https://abit.magtu.ru/38-04-01-ekonomika	заочная	0	35	none	none
38.04.01	экономика	магистратура	https://abit.magtu.ru/38-04-01-ekonomika	очная	0	40	none	none
38.04.02	менеджмент	магистратура	https://abit.magtu.ru/38-04-02-menedzhment	заочная	0	20	none	none
38.04.02	менеджмент	магистратура	https://abit.magtu.ru/38-04-02-menedzhment	очная	0	15	none	none
38.04.03	управление персоналом	магистратура	https://abit.magtu.ru/38-04-03-upravlenie-personalom	заочная	0	15	none	none
39.03.01	социология	бакалавриат	https://abit.magtu.ru/39.03.01-socziologiya	заочная	0	25	none	none
40.03.01	юриспруденция	бакалавриат	https://abit.magtu.ru/40-03-01-yurisprudenciya	очная	0	30	none	none
40.03.01	юриспруденция	бакалавриат	https://abit.magtu.ru/40-03-01-yurisprudenciya	очно-заочная	0	30	none	none
42.03.01	реклама и связи с общественностью	бакалавриат	https://abit.magtu.ru/42-03-01-reklama-i-svyazi-s-obschestvennostyu	заочная	0	30	none	none
44.03.01	педагогическое образование	бакалавриат	https://abit.magtu.ru/44-03-01-pedagogicheskoe-obrazovanie	заочная	0	90	none	none
44.03.01	педагогическое образование	бакалавриат	https://abit.magtu.ru/44-03-01-pedagogicheskoe-obrazovanie	очная	0	55	none	none
44.03.02	психолого-педагогическое образование	бакалавриат	https://abit.magtu.ru/44-03-02-psihologo-pedagogicheskoe-obrazovanie	заочная	0	40	none	none
44.03.02	психолого-педагогическое образование	бакалавриат	https://abit.magtu.ru/44-03-02-psihologo-pedagogicheskoe-obrazovanie	очная	50	15	none	none
44.03.03	специальное (дефектологическое) образование	бакалавриат	https://abit.magtu.ru/44-03-03-specialnoe-defektologicheskoe-obrazovanie	заочная	0	45	none	none
44.03.03	специальное (дефектологическое) образование	бакалавриат	https://abit.magtu.ru/44-03-03-specialnoe-defektologicheskoe-obrazovanie	очная	24	12	none	none
44.03.05	педагогическое образование (с двумя профилями)	бакалавриат	https://abit.magtu.ru/44-03-05-pedagogicheskoe-obrazovanie-s-dvumya-profilyami	заочная	0	25	none	none
44.03.05	педагогическое образование (с двумя профилями)	бакалавриат	https://abit.magtu.ru/44-03-05-pedagogicheskoe-obrazovanie-s-dvumya-profilyami	очная	154	46	none	none
44.04.01	педагогическое образование	магистратура	https://abit.magtu.ru/44-04-01-pedagogicheskoe-obrazovanie	заочная	0	57	none	none
44.04.01	педагогическое образование	магистратура	https://abit.magtu.ru/44-04-01-pedagogicheskoe-obrazovanie	очная	38	38	none	none
44.04.02	психолого-педагогическое образование	магистратура	https://abit.magtu.ru/44-04-02-psihologo-pedagogicheskoe-obrazovanie	заочная	0	100	none	none
44.04.02	психолого-педагогическое образование	магистратура	https://abit.magtu.ru/44-04-02-psihologo-pedagogicheskoe-obrazovanie	очная	22	10	none	none
44.04.03	специальное (дефектологическое) образование	магистратура	https://abit.magtu.ru/44-04-03-specialnoe-defektologicheskoe-obrazovanie	заочная	0	30	none	none
45.03.01	филология	бакалавриат	https://abit.magtu.ru/45-03-01-filologiya	заочная	0	13	none	none
45.05.01	перевод и переводоведение	специалитет	https://abit.magtu.ru/45-05-01-perevod-i-perevodovedenie	очная	0	14	none	none
46.03.02	документоведение и архивоведение	бакалавриат	https://abit.magtu.ru/46-03-02-dokumentovedenie-i-arhivovedenie	заочная	0	25	none	none
46.04.01	история	магистратура	https://abit.magtu.ru/46.04.01-istoriya	заочная	0	15	none	none
49.03.01	физическая культура	бакалавриат	https://abit.magtu.ru/49-03-01-fizicheskaya-kultura	очная	20	5	none	none
54.03.01	дизайн	бакалавриат	https://abit.magtu.ru/54-03-01-dizayn	очно-заочная	0	25	none	none
