profile	vo_spec	spo_spec
социально-экономический профиль	46.03.02 документоведение и архивоведение	46.02.01 документационное обеспечение управления и архивоведение
социально-экономический профиль	46.03.02 документоведение и архивоведение	46.02.02 обеспечение технологического сопровождения цифровой трансформации документированных сфер деятельности
гуманитарный профиль	44.03.01 педагогическое образование	44.02.01 дошкольное образование
гуманитарный профиль	44.03.01 педагогическое образование	44.02.02 преподавание в начальных классах
гуманитарный профиль	44.03.01 педагогическое образование	44.02.03 педагогика дополнительного образования
гуманитарный профиль	44.03.01 педагогическое образование	44.02.04 специальное дошкольное образование
гуманитарный профиль	44.03.01 педагогическое образование	44.02.05 коррекционная педагогика в начальном образовании
гуманитарный профиль	44.03.01 педагогическое образование	44.02.07 преподавание в основном общем образовании (по профилям)
гуманитарный профиль	44.03.01 педагогическое образование	44.02.07 преподавание в основном общем образовании (по профилям)
гуманитарный профиль	44.03.01 педагогическое образование	44.02.07 преподавание в основном общем образовании (по профилям)
гуманитарный профиль	44.03.01 педагогическое образование	49.02.01 физическая культура
гуманитарный профиль	44.03.01 педагогическое образование	49.02.02 адаптивная физическая культура
гуманитарный профиль	44.03.01 педагогическое образование	49.02.03 спорт
гуманитарный профиль	44.03.01 педагогическое образование	50.02.01 мировая художественная культура
гуманитарный профиль	44.03.01 педагогическое образование	51.02.01 народное художественное творчество (по видам)
гуманитарный профиль	44.03.01 педагогическое образование	51.02.02 социально-культурная деятельность (по видам)
гуманитарный профиль	44.03.01 педагогическое образование	51.02.03 библиотечно-информационная деятельность
гуманитарный профиль	44.03.01 педагогическое образование	54.02.01 дизайн (по отраслям)
гуманитарный профиль	44.03.01 педагогическое образование	54.02.02 декоративно-прикладное искусство и народные промыслы (по видам)
гуманитарный профиль	44.03.01 педагогическое образование	54.02.03 художественное оформление изделий текстильной и легкой промышленности
гуманитарный профиль	44.03.01 педагогическое образование	54.02.04 реставрация произведений изобразительного и декоративно-прикладного искусства
гуманитарный профиль	44.03.01 педагогическое образование	54.02.05 живопись (по видам)
гуманитарный профиль	44.03.01 педагогическое образование	54.02.05 живопись с присвоением квалификаций художник- живописец, преподаватель
гуманитарный профиль	44.03.01 педагогическое образование	54.02.06 изобразительное искусство и черчение
гуманитарный профиль	44.03.01 педагогическое образование	54.02.07 скульптура
гуманитарный профиль	44.03.01 педагогическое образование	54.02.08 техника и искусство фотографии
гуманитарный профиль	44.03.01 педагогическое образование	54.02.09 реставрация недвижимых памятников культурного наследия
гуманитарный профиль	44.03.02 психолого-педагогическое образование	44.02.01 дошкольное образование
гуманитарный профиль	44.03.02 психолого-педагогическое образование	44.02.02 преподавание в начальных классах
гуманитарный профиль	44.03.02 психолого-педагогическое образование	44.02.03 педагогика дополнительного образования
гуманитарный профиль	44.03.02 психолого-педагогическое образование	44.02.04 специальное дошкольное образование
гуманитарный профиль	44.03.02 психолого-педагогическое образование	44.02.05 коррекционная педагогика в начальном образовании
гуманитарный профиль	44.03.02 психолого-педагогическое образование	44.02.07 преподавание в основном общем образовании (по профилям)
гуманитарный профиль	44.03.02 психолого-педагогическое образование	44.02.07 преподавание в основном общем образовании (по профилям)
гуманитарный профиль	44.03.02 психолого-педагогическое образование	44.02.07 преподавание в основном общем образовании (по профилям)
гуманитарный профиль	44.03.02 психолого-педагогическое образование	49.02.01 физическая культура
гуманитарный профиль	44.03.02 психолого-педагогическое образование	49.02.02 адаптивная физическая культура
гуманитарный профиль	44.03.02 психолого-педагогическое образование	49.02.03 спорт
гуманитарный профиль	44.03.02 психолого-педагогическое образование	50.02.01 мировая художественная культура
гуманитарный профиль	44.03.02 психолого-педагогическое образование	51.02.01 народное художественное творчество (по видам)
гуманитарный профиль	44.03.02 психолого-педагогическое образование	51.02.02 социально-культурная деятельность (по видам)
гуманитарный профиль	44.03.02 психолого-педагогическое образование	51.02.03 библиотечно-информационная деятельность
гуманитарный профиль	44.03.02 психолого-педагогическое образование	54.02.01 дизайн (по отраслям)
гуманитарный профиль	44.03.02 психолого-педагогическое образование	54.02.02 декоративно-прикладное искусство и народные промыслы (по видам)
