profile_spec_name,mark,year
44.03.03 Специальное (дефектологическое) образование  (дефектология) (бак-т),187,2023
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (английский язык и китайский язык) (бак-т),214,2023
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (дошкольное образование и дополнительное образование) (бак-т),191,2023
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (информатика и экономика) (бак-т),164,2023
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (история и обществознание) (бак-т),196,2023
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (математика и физика) (бак-т),140,2023
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (начальное образование и организация воспитательной работы)  (бак-т),162,2023
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (немецкий язык и английский язык) (бак-т),159,2023
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (русский язык и литература) (бак-т),183,2023
45.05.01 Перевод и переводоведение (английский язык и немецкий  язык) (спец-т),213,2023
46.03.02 Документоведение и архивоведение (документоведение и  документационное обеспечение управления) (бак-т),143,2023
49.03.01 Физическая культура (спортивный менеджмент и судейство  спортивных соревнований) (бак-т),192,2023
54.03.02 Декоративно-прикладное искусство и народные промыслы  (арт-технологии в декоративно-прикладном искусстве) (бак-т),306,2023
