code	profile_spec_name	required_vi
27.03.04	управление в технических системах. профиль образовательной программы «системы и средства автоматизации технологических процессов»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
29.03.03	технология полиграфического и упаковочного производства. профиль образовательной программы «промышленный дизайн и принтмедиа технологии»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
37.03.01	психология. профиль образовательной программы «практическая психология»	русский язык;человек. анатомия. зож;основы профессиональной коммуникации
38.03.01	экономика. профиль образовательной программы «экономика и бизнес-аналитика»	русский язык;экономические и правовые основы в профессиональной деятельности;информационные технологии в профессиональной деятельности
38.03.01	экономика. профиль образовательной программы «экономика, финансы и учет в бизнесе»	русский язык;экономические и правовые основы в профессиональной деятельности;информационные технологии в профессиональной деятельности
38.03.02	менеджмент. профиль образовательной программы «менеджмент организации»	русский язык;экономические и правовые основы в профессиональной деятельности;информационные технологии в профессиональной деятельности
38.03.02	менеджмент. профиль образовательной программы «логистика и управление транспортными системами»	русский язык;экономические и правовые основы в профессиональной деятельности;информационные технологии в профессиональной деятельности
38.03.03	управление персоналом. профиль образовательной программы «управление персоналом в организации»	русский язык;экономические и правовые основы в профессиональной деятельности;основы профессиональной коммуникации
39.03.01	социология. профиль образовательной программы «социологические и маркетинговые исследования»	русский язык;человек, общество, государство;основы профессиональной коммуникации
40.03.01	юриспруденция профиль образовательной программы «юриспруденция»	русский язык;конституционное право российской федерации;правовые основы общества
42.03.01	реклама и связи с общественностью. профиль образовательной программы «коммуникации в цифровой среде»	русский язык;медиакоммуникации;основы профессиональной коммуникации
44.03.01	педагогическое образование. профиль образовательной программы «физическая культура»	русский язык;человек. анатомия. зож;физическая культура
44.03.01	педагогическое образование. профиль образовательной программы «начальное образование»	русский язык;основы педагогики и психологии;основы профессиональной коммуникации
44.03.01	педагогическое образование (филиал). профиль образовательной программы «начальное образование»	русский язык;основы педагогики и психологии;основы профессиональной коммуникации
44.03.01	педагогическое образование (филиал). профиль образовательной программы «дошкольное образование»	русский язык;основы педагогики и психологии;основы профессиональной коммуникации
44.03.01	педагогическое образование. профиль образовательной программы «русский язык в полиэтнической образовательной среде»	русский язык;основы педагогики и психологии;основы профессиональной коммуникации
44.03.02	психолого-педагогическое образование. профиль образовательной программы «психология и педагогика дошкольного образования»	русский язык;основы педагогики и психологии;основы профессиональной коммуникации
44.03.02	психолого-педагогическое образование.  профиль образовательной программы «психолого-педагогическое  сопровождение личности в непрерывном образовании	русский язык;основы педагогики и психологии;основы профессиональной коммуникации
44.03.02	психолого-педагогическое образование. профиль образовательной программы «психолого-педагогическое консультирование и медиации в образовании»	русский язык;основы педагогики и психологии;основы профессиональной коммуникации
44.03.03	специальное (дефектологическое) образование. профиль образовательной программы «дефектология»	русский язык;основы педагогики и психологии;естественные науки о человеке и ортокоммуникация
44.03.05	педагогическое образование (с двумя профилями подготовки). информатика и экономика	русский язык;основы педагогики и психологии;информатика и современные информационные технологии.
44.03.05	педагогическое образование (с двумя профилями подготовки). история и география	русский язык;основы педагогики и психологии;основы профессиональной коммуникации
44.03.05	педагогическое образование (с двумя профилями подготовки). математика и физика	русский язык;теоретические основы математики с методикой преподавания;основы педагогики и психологии
